,part_idx,participant,mean_accuracy,inters_real,int_range,int_length,scenario,accuracy,difficulty
85,85,60fd944e3965e6eb9e783b87,0.915605389558064,8.2,129.14634146341464,3.7658536585365856,crime,0.7411365045466037,2
86,86,61002bd1c5ea49ea62f4a431,0.7841692536812237,7.8,100.82051282051282,3.7948717948717947,crime,0.7770887149698589,2
87,87,610063b7b50c4e9488e77eca,0.9227662767203058,9.2,127.73913043478261,3.104347826086957,crime,0.9246221638555591,1
88,88,6105c826905d93532f4c8cd3,0.8755219692811977,6.4,71.875,3.6812499999999995,crime,0.7538170180413345,1
89,89,610816a86c5fb2400acb3bb8,0.8810809004940736,6.2,80.64516129032258,5.5677419354838715,crime,0.8116891057113227,2
90,90,610846dd7da13e7eb86a6f39,0.9512118291752735,13.0,82.50769230769231,1.9353846153846153,crime,0.9221501055838477,1
91,91,610cda1332fb63830158c55d,0.8345448766782846,12.0,87.33333333333333,2.8533333333333335,crime,0.8241368854718353,2
92,92,610fcfe70592d59fc629f2a5,0.8660583039516071,8.4,76.38095238095238,4.766666666666667,crime,0.8237731557874397,1
93,93,61104698e0ea6c52b2a2c1be,0.8473382312889495,8.6,70.02325581395348,1.888372093023256,crime,0.8756459991565483,1
94,94,61157d170c26d85a7eb04dfa,0.6792220791020431,6.2,91.54838709677419,1.038709677419355,crime,0.571253537143728,2
