,part_idx,participant,mean_accuracy,time_taken,inters_real,int_range,int_length,scenario,accuracy,difficulty
94,94,60e70d678909d1d5e5bd8943,0.9170859499086728,26.52335,11.0,103.68181818181819,2.6181818181818177,crime,0.8726570920065974,2.0
95,95,60eddc1f62cdf337ab19f604,0.6898094993014618,46.48631666666667,1.5,88.33333333333333,6.1000000000000005,crime,0.6880748530539782,1.0
96,96,6106ac34408681f3b0d07396,0.7586295646208527,28.4449,10.25,58.853658536585364,1.590243902439024,crime,0.8852921330647191,2.0
97,97,610abbbb784eea92360657e0,0.9075889360162813,41.15213333333334,8.25,158.15151515151516,3.890909090909091,crime,0.913613157441864,1.0
98,98,611231e33c2e4198943389a9,0.8419627685577125,19.53945,6.25,52.0,0.8320000000000002,crime,0.8093074821508816,1.0
99,99,61169988cf61a1a4c41fdf9c,0.7524146527941703,19.185916666666667,8.25,76.42424242424242,4.2,crime,0.8132281580905929,1.0
100,100,611ab1da8239817bc8d5f1e1,0.7794078142771395,17.44783333333333,9.0,118.5,4.344444444444445,crime,0.7485673235146281,1.0
101,101,611e58f3b7cfe10fe9eef3df,0.7017055491124583,35.286849999999994,4.25,91.94117647058823,0.5764705882352942,crime,0.7247590587184098,1.0
102,102,61254c5a6facc8ed023a64de,0.8160899790822018,53.48765,10.25,62.51219512195122,3.4000000000000004,crime,0.8248576389739852,1.0
103,103,61267b828ead584bcf092e35,0.8618749790073403,51.60786666666667,5.75,169.08695652173913,5.7565217391304335,crime,0.763475041604367,2.0
104,104,61322612510b85268a0c4b63,0.7278503329247854,29.56055,6.5,91.34615384615384,4.953846153846153,crime,0.743926240134208,2.0
105,105,613a469755c08ab3b9d682ad,0.8628042317878759,38.524033333333335,5.75,67.65217391304348,6.0260869565217385,crime,0.8295014151323816,1.0
106,106,613aa0162f4662712a517461,0.6968171448612102,68.33015,10.25,61.24390243902439,3.1073170731707314,crime,0.688527809631206,2.0
107,107,613af39692992acbacdbbbbc,0.6695109551803229,42.323600000000006,0.0,0.0,0.0,crime,0.6574406054776629,2.0
108,108,613e18e92e4ed15176362aa2,0.8309508977744051,22.690383333333333,5.5,145.4090909090909,5.736363636363636,crime,0.7349145981569897,2.0
